"serviceID","businessName","businessLoc","eventType","serviceType","thumbnail","price","gallery","businessDocs","serviceDesc","included","pax","sellerID","reviewID","monitor"
"11","JNJ Lights & Sounds","Lipa City","Birthday, Christening, Debut, Wedding, Gatherings","Entertainer","uploads/thumbnail/thumb_6743256061b4c9.83826450_L&S.jpg","35000.00","[""uploads\/gallery\/gallery_6743256061fa21.73766756_gathering.png"",""uploads\/gallery\/gallery_67432560621a83.61064201_sound.png""]",NULL,"At JNJ Lights & Sounds, we specialize in delivering high-quality lighting and sound solutions for events of all sizes. From corporate gatherings and weddings to concerts and parties, we provide expertly designed setups that elevate any occasion. Our team ensures a seamless experience, combining state-of-the-art technology with exceptional service to create unforgettable moments for your guests.","Customizable Lighting & Sound Setup
Tailored lighting effects and high-quality sound systems designed to suit your event’s theme and size.

Professional Audio Equipment
Premium speakers, microphones (wireless & wired), and mixers for clear, reliable sound throughout your event.

Event Coordination & On-Site Support
On-site technicians to manage setup, operation, and troubleshooting, ensuring everything runs smoothly.

Audio-Visual Solutions
Projectors, screens, and video mapping to enhance your event with visual content and immersive experiences.

Consultation & Personalization
Pre-event consultation to create a personalized sound and lighting experience, ensuring the perfect atmosphere for your event.","0","10",NULL,"Accepted"
"13","Wayne Skyrus Catering & Events ","Lipa City","Birthday, Christening, Debut, Wedding, Gatherings","Entertainer","uploads/thumbnail/thumb_67432a7b0575d7.40597536_1.jpg","25000.00","[""uploads\/gallery\/gallery_67432a7b058ed4.97627263_3.jpg"",""uploads\/gallery\/gallery_67432a7b05a130.65419390_2.jpg"",""uploads\/gallery\/gallery_67432a7b05b1c4.89819087_L&S.jpg""]",NULL,"Wayne Skyrus Catering & Events is a premier event planning and catering service, specializing in creating unforgettable experiences for any occasion. From intimate gatherings to grand celebrations, we provide exceptional culinary creations and seamless event coordination tailored to your unique vision. With a focus on quality, creativity, and attention to detail, Wayne Skyrus Catering & Events ensures your event is a true masterpiece from start to finish.","All Party Needs","100","13",NULL,"Accepted"
"15","K. Cones & Cups","Lipa City","Birthday, Christening, Debut, Wedding, Gatherings","Catering","uploads/thumbnail/thumb_674420bf63e685.77655279_FB_IMG_1732517970648.jpg","10000.00","[""uploads\/gallery\/gallery_674420bf63f655.52386475_FB_IMG_1732518022112.jpg"",""uploads\/gallery\/gallery_674420bf640ba0.75994744_FB_IMG_1732518011999.jpg"",""uploads\/gallery\/gallery_674420bf641c43.68585460_FB_IMG_1732517999368.jpg""]",NULL,"Soft-Serve Ice Cream | Carts for all Occassions | Lipa City and neighbouring towns🍦","Ice cream cart","0","16",NULL,"Accepted"
"16","Lipa Clowns & Magician","Batangas City","Birthday, Christening, Debut, Wedding, Gatherings","Entertainer","uploads/thumbnail/thumb_674421a0a9d401.96756130_1000020677.jpg","3000.00","[""uploads\/gallery\/gallery_674421a0a9f5a7.17753267_1000020679.jpg"",""uploads\/gallery\/gallery_674421a0aa1294.29126828_1000020678.jpg"",""uploads\/gallery\/gallery_674421a0aa2b83.93532594_1000020680.jpg""]",NULL,"Step Right Up! Our talented clowns are dedicated to delivering unforgettable experiences at birthday parties, corporate events, and more. With our customized packages, you can rest assured of a stress-free and fun-filled celebration. Contact us to learn more!

Sunday's show  at Pinagtung Ulan San Jose Batangas thank u so much ma'am & sir for having us.","I will give 10% discount to the first 10 clients !
We offer the followings
⭐ #clowns   🤡 🤡 🤡 🤡 
⭐ Magican
⭐ Puppet show
⭐ Mascots
⭐ Bubble show 
⭐ Food carts
⭐ Etc....","0","17",NULL,"Accepted"
"17","Kambingan atbp","Lipa City","Birthday, Christening","Catering","uploads/thumbnail/thumb_6744f6a63784b7.67722016_kambingan.jpg","5000.00","[""uploads\/gallery\/gallery_6744f6a63797a9.74256341_467332927_884796787171722_1390577455902989519_n.jpg"",""uploads\/gallery\/gallery_6744f6a637baf0.06235990_466682251_881541217497279_5531038455954050631_n.jpg""]",NULL,"Your GOAT-to Eat. | Grill & Chill. | &More. Very affordable especially in event that want cheap food.","Food only","20","16",NULL,"Accepted"
